30.287,70.513,3.65,3.65,0.035206,2.277,33.35,33.35,4.65,4.65,378.04,10.432,0,0,0,0,0,0,0,0,0.5,1,1,1,2,146,0,0,0,0
33.071,30.681,3.65,3.65,0.21972,0.08348,33.35,33.35,4.65,4.65,182.31,203.12,0,0,0,0,0,0,0,0,0.5,1,1,1,1,484,0,0,0,0
394.11,22.834,3.65,3.65,1.519,0.090567,33.35,33.35,4.65,4.65,41.763,581.09,0,0,0,0,0,0,0,0,0.5,1,1,1,2,163,0,0,0,0
30.572,304.69,3.65,3.65,1.9996,0.60368,33.35,33.35,4.65,4.65,54.379,25.542,0,0,0,0,0,0,0,0,0.5,1,1,1,4,336,0,0,0,0
242.21,264.96,3.65,3.65,0.032293,6.6229,33.35,33.35,4.65,4.65,116.44,31.433,0,0,0,0,0,0,0,0,0.5,1,1,1,1,267,0,0,0,0
13.7,10.966,3.65,3.65,1.8866,0.54503,33.35,33.35,4.65,4.65,186.65,24.791,0,0,0,0,0,0,0,0,0.5,1,1,1,1,101,0,0,0,0
113.4,80.272,3.65,3.65,0.024836,0.021499,33.35,33.35,4.65,4.65,102.25,145.83,0,0,0,0,0,0,0,0,0.5,1,1,1,1,329,0,0,0,0
49.63,547.19,3.65,3.65,1.6436,1.0624,33.35,33.35,4.65,4.65,16.617,337.4,0,0,0,0,0,0,0,0,0.5,1,1,1,4,422,0,0,0,0
10.548,72.736,3.65,3.65,4.9331,0.51121,33.35,33.35,4.65,4.65,33.108,771.05,0,0,0,0,0,0,0,0,0.5,1,1,1,3,62,0,0,0,0
68.878,982.38,3.65,3.65,1.2693,0.030509,33.35,33.35,4.65,4.65,171.8,798.62,0,0,0,0,0,0,0,0,0.5,1,1,1,4,74,0,0,0,0
85.641,126.7,3.65,3.65,0.1046,1.1566,33.35,33.35,4.65,4.65,18.74,122.07,0,0,0,0,0,0,0,0,0.5,1,1,1,3,204,0,0,0,0
27.899,15.979,3.65,3.65,0.021521,9.3944,33.35,33.35,4.65,4.65,42.363,91.754,0,0,0,0,0,0,0,0,0.5,1,1,1,4,99,0,0,0,0
14.568,12.382,3.65,3.65,3.5985,2.4272,33.35,33.35,4.65,4.65,135.11,36.503,0,0,0,0,0,0,0,0,0.5,1,1,1,3,499,0,0,0,0
24.794,21.631,3.65,3.65,0.69901,0.88385,33.35,33.35,4.65,4.65,65.189,575.31,0,0,0,0,0,0,0,0,0.5,1,1,1,1,431,0,0,0,0
24.965,43.746,3.65,3.65,9.8162,0.20447,33.35,33.35,4.65,4.65,11.499,423.8,0,0,0,0,0,0,0,0,0.5,1,1,1,2,139,0,0,0,0
17.137,219.08,3.65,3.65,0.89743,3.6785,33.35,33.35,4.65,4.65,212.12,65.269,0,0,0,0,0,0,0,0,0.5,1,1,1,2,109,0,0,0,0
39.762,241.69,3.65,3.65,0.082749,2.8638,33.35,33.35,4.65,4.65,12.511,552.63,0,0,0,0,0,0,0,0,0.5,1,1,1,4,335,0,0,0,0
