410.41,407.93,3.65,3.65,0.1763,3.9022,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.55802,0.099757,1,0,0.55802,1,360,0,0,0,0,501,501,501,451,451.07,451.1,88.448,17.667,0,70.869,97.178,19.479,0,76.899,699.34,140.43,0,552.98
267.87,263.13,3.65,3.65,0.14158,0.11936,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.28908,0.14794,1,0,0.28908,1,386,0,0,0,0,472.18,471.81,476.29,473.25,479.08,479.1,58.145,4.285,6.5588,59.595,56.189,4.0967,6.2649,58.145,404.7,29.486,45.213,419.06
340.71,156.09,3.65,3.65,9.3342,8.5161,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.82428,0.12376,1,0,0.82428,1,465,0,0,0,0,501,501,501,436.07,436.18,436.17,97.216,19.973,0,37.527,82.404,16.887,0,31.771,593.04,121.87,0,230.25
115.9,119.75,3.65,3.65,4.2776,2.2653,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.73362,0.40239,1,0,0.73362,1,460,0,0,0,0,406.83,415.12,415.12,485.7,482.43,483.01,25.154,1.6392,10.379,34.575,21.428,1.3865,8.8904,29.562,155.87,10.075,64.466,214.59
302.47,176.45,3.65,3.65,2.9041,4.6405,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.55295,0.14945,1,0,0.55295,1,473,0,0,0,0,501,501,501,476.51,475.53,484.69,88.914,6.6827,0,50.259,74.17,5.4998,0,41.684,534.03,39.597,0,301.41
280.58,312.4,3.65,3.65,0.13106,0.12216,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.9176,0.21419,1,0,0.9176,1,286,0,0,0,0,465,465.05,465.1,497.93,501,501,42.702,0.016747,8.1088,55.034,57.63,0,11.019,74.821,415.17,0,79.459,539.39
260.44,315.67,3.65,3.65,0.022268,4.2886,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.8436,0.28618,1,0,0.8436,1,236,0,0,0,0,500.59,500.59,500.6,414.05,423.09,423.11,38.131,9.9623,0.61735,33.92,64.241,16.543,0.94766,50.526,463.04,119.19,6.8332,364.03
322.43,301.44,3.65,3.65,4.7102,0.063338,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.99539,0.38148,1,0,0.99539,1,306,0,0,0,0,401.44,355.3,411.54,485.78,485.85,485.85,53.045,3.9671,7.4181,53.905,64.716,4.867,9.2745,69.485,465.04,35.102,66.8,501.18
344,392.9,3.65,3.65,0.12002,5.6289,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.95421,0.40995,1,0,0.95421,1,273,0,0,0,0,436.96,438.14,438.15,484.29,483.15,491.27,45.346,0.62017,13.941,63.997,65.451,0.85447,19.732,91.034,471.49,6.2243,141.87,655.77
268.66,205.53,3.65,3.65,5.8974,0.12036,33.35,33.35,4.65,4.65,1e+05,1e+05,0,0,1e-05,1e-05,1e+05,1e+05,0,0.30741,0.21876,1,0,0.30741,1,451,0,0,0,0,501,501,501,432.13,432.25,432.29,75.826,18.572,0.051153,45.164,63.566,15.545,0,39.483,458.6,112.13,0,285.27
